CountingSort;1000;ORDENAÇÃO_DECRESCENTE;T_em_s -> 0.00003210;N_I -> 30017;Wed Apr 19 23:44:28 2017

RadixSort;1000;ORDENAÇÃO_DECRESCENTE;T_em_s -> 0.00011716;N_I -> 90357;Wed Apr 19 23:44:28 2017

HeapSort;1000;ORDENAÇÃO_DECRESCENTE;T_em_s -> 0.00012113;N_I -> 154395;Wed Apr 19 23:44:28 2017

MergeSort_MA;1000;ORDENAÇÃO_DECRESCENTE;T_em_s -> 0.00032287;N_I -> 157998;Wed Apr 19 23:44:28 2017

MergeSort_PR;1000;ORDENAÇÃO_DECRESCENTE;T_em_s -> 0.00017936;N_I -> 159000;Wed Apr 19 23:44:28 2017

QuickSort;1000;ORDENAÇÃO_DECRESCENTE;T_em_s -> 0.00217874;N_I -> 47961;Wed Apr 19 23:44:28 2017

QuickSort_MEDPE;1000;ORDENAÇÃO_DECRESCENTE;T_em_s -> 0.00161160;N_I -> 38503;Wed Apr 19 23:44:28 2017

QuickSort_MEPEPC;1000;ORDENAÇÃO_DECRESCENTE;T_em_s -> 0.00046691;N_I -> 46977;Wed Apr 19 23:44:28 2017

QuickSort_MEDEPA;1000;ORDENAÇÃO_DECRESCENTE;T_em_s -> 0.00021738;N_I -> 34882;Wed Apr 19 23:44:28 2017

SelectionSort;1000;ORDENAÇÃO_DECRESCENTE;T_em_s -> 0.00176128;N_I -> 1758996;Wed Apr 19 23:44:28 2017

BubbleSort;1000;ORDENAÇÃO_DECRESCENTE;T_em_s -> 0.00682909;N_I -> 9994000;Wed Apr 19 23:44:28 2017

InsertonSort;1000;ORDENAÇÃO_DECRESCENTE;T_em_s -> 0.00225181;N_I -> 3010003;Wed Apr 19 23:44:28 2017

