CountingSort;100000000;SEM_REPETIÇÃO;T_em_s -> 9.15347958;N_I -> 3000000017;Sat Oct 22 09:11:21 2016

RadixSort;100000000;SEM_REPETIÇÃO;T_em_s -> 21.21498489;N_I -> 19500000840;Sat Oct 22 09:13:57 2016

HeapSort;100000000;SEM_REPETIÇÃO;T_em_s -> 65.40581512;N_I -> 45669722936;Sat Oct 22 09:18:41 2016

MergeSort_MA;100000000;SEM_REPETIÇÃO;T_em_s -> 40.27961349;N_I -> 44655286126;Sat Oct 22 09:22:58 2016

MergeSort_PR;100000000;SEM_REPETIÇÃO;T_em_s -> 40.45625305;N_I -> 44755286128;Sat Oct 22 09:27:07 2016

QuickSort;100000000;SEM_REPETIÇÃO;T_em_s -> 38.15541840;N_I -> 26997439107;Sat Oct 22 10:24:08 2016

QuickSort_MEDPE;100000000;SEM_REPETIÇÃO;T_em_s -> 21.23454094;N_I -> 11170233647;Sat Oct 22 10:25:32 2016

QuickSort_MEPEPC;100000000;SEM_REPETIÇÃO;T_em_s -> 21.96467018;N_I -> 11438125076;Sat Oct 22 10:27:00 2016

QuickSort_MEDEPA;100000000;SEM_REPETIÇÃO;T_em_s -> 23.53436661;N_I -> 10081324035;Sat Oct 22 10:28:30 2016

